"Show structure for store view:","Pokaż strukturę dla widoku sklepu:"
"Customer MLM Profile","Profil MLM klienta"
"-- direct cooworker: ","-- bezpośredni współpracownik: "
"Refferal Person:","Osoba rekomendująca"
"Refferal","Rekomendacja"
"Please be very carefull when changing refferal.","Proszę uważać przy zmianie osoby rekomendującej"
"Customer Image","Zdjęcie klienta"
"Image:","Zdjęcie:"
"Uploading new image will replace the current image.","Zgranie nowego zdjęcia zastąpi obecne"
"Uploading new image will replace the current one.","Zgranie nowego zdjęcia zastąpi obecne"
"Store views are displayed first.","Widoki sklepów są wypisywane w pierwszej kolejności"
"Show structure","Wyświetl strukturę"
"Multilevel Settings","Ustawienia MLM"
"Multilevel Marketing Settings","Ustawienia multilevel marketingu"
"My structure","Moja struktura"
"My Structure","Moja Struktura"
"My MLM profile","Mój profil MLM"
"My MLM Profile","Mój Profil MLM"
"Referral Link","Link referencyjny"
"You are editing commission level: %s","Edytujesz poziom prowizji: %s"
"New comission level","Nowy poziom prowizji"
"Save Commission Level","Zapisz poziom prowizji"
"Commission Level Settings","Ustawienia poziomu prowizji"
"Level name",'Nazwa poziomu"
"System name of commission level. For administration purposes","Nazwa systemowa poziomu prowizyjnego. Dla potrzeb administracyjnych"
"Level Commission:","Wartość prowizji:"
"value  in %.","wartość prowizji w %."
"Unilevel payment plan","Plan prowizyjny"
"Configuration","Konfiguracja"
"Commissions levels","Poziomy prowizjyne"
"sum","suma"
"Level name: ","Nazwa poziomu: "
"Value: ","Prowizja: "
"Delete","Usuń"
"Back","Wróć"
"Commission Report","Raport prowizyjny"
"My Commissions:","Moje prowizje"
"Current month:","Obecny miesiąc:"
"Order Date","Data zamówienia"
"Order Id","Identyfikator zamówienia"
"Commission level","Poziom prowizyjny"
"Commission value","Wartość prowizji"
"Status","Stan"
"Unilevel Compensation Plan:","Schemat wypłaty prowizji"
"Unilevel Commission Plan","Podstawowy Plan Prowizyjny"
"Frontline: ","Pierwsza linia"
"Structure Depth: ","Głębokość struktury"
"Structure Total: ","Ilość osób w strukturze"
"Structure Count:","Osób w strukturze" 
"Selected commissions were marked as paid","Prowizje zostały oznaczone jako zapłacone"
"Select date for commission report:","Wybierz datę dla raportu prowizyjnego"
"Commission report:","Raport prowizyjny"
"Unpaid Commissions for selected date:","Niewypłacone prowizje dla daty:"
"Customer","Klient"
"Customer email","Adres email klienta"
"Commission Value","Wartość prowizji"
"Mark selected commissions as paid","Oznacz prowizje jako zapłacone"
"Paid Commissions for selected date:","Wypłacone prowizje dla daty:"
"Marketing level deleted","Usunięto poziom prowizyjny"
"No data found to delete","Nie znaleziono danych do usunięcia"
"No data found to save","Nie znaleziono danych do zapisu"
"Data not found","Nie znaleziono informacji"
"Data saved","Zapisano dane"
"Multilevel Customer Data","Profil MLM klienta"
"Show Entire Structure","Pokaż całą strukturę"
"Commission total","Wartość prowizji"
"Commission status","Stan prowizji"
"There are no commissions for this month","W danym miesiącu nie ma prowizji"
"Paid","Wypłacono"
"Not paid","Nie wypłacono"
"Commission Value","Wielkość prowizji"
"My MLM  profile","Mój profil MLM"
"Structure Data","Twoja struktura"
"Data","Dane"
"Value","Wartość"
"Your picture","Twoje zdjęcie"
"Your image is uploaded by MLM central","Twoje zdjęcie dodawane jest przez centralę"
"Commission Data","Wynagrodzenia"
"Type","Rodzaj"
"Total earnings: ","Całkowity przychód"
"Average monthly earnings: ","Średni miesięczny zarobek"
"Personal Info","Informacje osobiste"
"Account created at: ","Konto stworzone zostało: "
"Referrer name: ","Osoba rekomendująca"
